"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"data_empenho";"valor_empenho";"sinal_valor";"credor";"obsoleto2";"caracteristica_peculiar";"obsoleto3";"registro_precos";"obsoleto4";"numero_licitacao";"ano_licitacao";"historico_empenho";"forma_contratacao";"base_legal";"despesa_funcionario";"licitacao_compartilhada";"cnpj_orgao_gerenciador";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade"
"11";"07";"02";"15";"452";"0017";0;"02045";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000006";2020-01-02;14400;"+";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"ENERGIA  ELETRICA  UTILIZADA  NA  ILUMINACAO  PUBLICA, NO EXERCICIO 2020. MES: FAT. No: No CONOSCO: 13274 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"12";"07";"02";"15";"452";"0017";0;"02045";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000006";2020-12-28;-6424,99;"-";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE.";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"13";"03";"01";"04";"122";"0001";0;"02003";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000007";2020-01-02;1980;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572026-8 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"14";"03";"01";"04";"122";"0001";0;"02003";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000007";2020-12-03;-383,71;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"15";"06";"01";"26";"122";"0001";0;"02032";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000008";2020-08-27;-220;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE NO MOMENTO";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"16";"06";"01";"26";"122";"0001";0;"02032";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000008";2020-01-02;1200;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571968-5 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"17";"07";"01";"15";"122";"0001";0;"02038";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000009";2020-01-02;840;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571970-7 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"18";"07";"01";"15";"122";"0001";0;"02038";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000009";2020-12-03;-63,4;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"19";"05";"04";"27";"812";"0003";0;"02029";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000010";2020-01-02;1440;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572025-0 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"20";"09";"01";"08";"122";"0011";0;"02075";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000011";2020-01-02;1920;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572027-6 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"21";"10";"01";"20";"122";"0001";0;"02090";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000012";2020-01-02;840;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572111-6 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"22";"05";"04";"27";"812";"0003";0;"02029";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000013";2020-01-02;960;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572168-0 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"23";"09";"02";"08";"241";"0011";0;"02077";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000014";2020-01-02;600;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1577919-0 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"24";"09";"02";"08";"241";"0011";0;"02077";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000014";2020-12-03;-265,29;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"25";"02";"04";"08";"243";"0011";0;"02009";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000015";2020-01-02;720;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 2020046-3 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"26";"02";"04";"08";"243";"0011";0;"02009";"3.3.90.39.44.00.00.000";"0001";"0000";"0202000000015";2020-12-03;-62,57;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"27";"05";"02";"12";"361";"0002";0;"02019";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000016";2020-01-02;8400;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1577994-7 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"28";"05";"02";"12";"361";"0002";0;"02019";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000016";2020-12-03;-4473,28;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"29";"05";"02";"12";"782";"0002";0;"02031";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000017";2020-01-02;840;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571966-9 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"30";"05";"02";"12";"782";"0002";0;"02031";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000017";2020-12-03;-134,34;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"31";"05";"02";"12";"365";"0002";0;"02023";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000018";2020-01-02;4200;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571928-6 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"32";"05";"02";"12";"365";"0002";0;"02023";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000018";2020-11-23;-100;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"por nao ter necessidade no presente";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"33";"05";"02";"12";"365";"0002";0;"02023";"3.3.90.39.44.00.00.000";"0020";"0000";"0202000000018";2020-12-03;-1251,26;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"34";"08";"01";"10";"302";"0008";0;"02065";"3.3.90.39.44.00.00.000";"0040";"0000";"0202000000019";2020-01-02;4200;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1578091-0 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"35";"08";"01";"10";"302";"0008";0;"02065";"3.3.90.39.44.00.00.000";"0040";"0000";"0202000000019";2020-12-03;-1105,39;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"36";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.44.00.00.000";"0040";"0000";"0202000000020";2020-01-02;840;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571697-0 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"37";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.44.00.00.000";"0040";"0000";"0202000000020";2020-12-03;-28,69;"-";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"38";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.44.00.00.000";"0040";"0000";"0202000000021";2020-01-02;840;"+";223;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 2448726-0 NO EXERCICIO 2020. REF. MES: CONSUMO M<U+00B3>:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"39";"03";"01";"04";"122";"0001";0;"02003";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000022";2020-01-02;50000;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NO PREDIO DO PALACIO MUNICIPAL REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3082467685 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"40";"03";"01";"04";"122";"0001";0;"02003";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000022";2020-12-11;-10414,53;"-";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"41";"06";"01";"26";"122";"0001";0;"02032";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000023";2020-01-02;8400;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA ELETRICA UTILIZADA NO PREDIO DO PARQUE DE MAQUINAS REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3082467660 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"42";"06";"01";"26";"122";"0001";0;"02032";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000023";2020-04-07;-10;"-";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"AJUSTE DA DOTACAO";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"43";"06";"01";"26";"122";"0001";0;"02032";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000023";2020-04-13;-100;"-";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"por nao ter necessidade no presente";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"44";"06";"01";"26";"122";"0001";0;"02032";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000024";2020-01-02;3000;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NO PREDIO DA OFICINA MUNICIPAL REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3085069531 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"45";"05";"04";"27";"812";"0003";0;"02029";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000025";2020-01-02;800;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NO ESTADIO MUNICIPAL REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3082467825 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"46";"05";"04";"27";"812";"0003";0;"02029";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000026";2020-01-02;1200;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA NA PRACA JOAO SAFFI REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 4002592400 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"47";"05";"04";"27";"812";"0003";0;"02029";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000027";2020-01-02;200;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE ENERGIA ELETRICA UTILIZADA NA PRCA DA CIDADE ALTA REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3085573325 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"48";"09";"02";"08";"241";"0011";0;"02077";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000028";2020-01-02;2400;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA  NO  PREDIO DO CENTRO DE AMPARO AO IDOSO (SALAO VERDE) REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3085151186 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"49";"09";"02";"08";"244";"0011";0;"02085";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000029";2020-01-02;2600;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA DE ENERGIA ELETRICA UTILIZADA NO PREDIO DO CRAS REF. EXERCICIO 2020.  MES: FAT. No: No CONOSCO: 3082467680 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"50";"05";"03";"13";"392";"0003";0;"02026";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000030";2020-01-02;840;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA DE ENERGIA ELETRICA UTILIZADA NO PREDIO DA BIBLIOTECA MUNICIPAL REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3085141606 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"51";"05";"03";"13";"392";"0003";0;"02026";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000030";2020-12-11;-479,03;"-";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"52";"02";"04";"08";"243";"0011";0;"02009";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000031";2020-01-02;1000;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA NO PREDIO DO CONSELHO TUTELAR REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3082467811 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"53";"03";"01";"04";"122";"0001";0;"02010";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000032";2020-01-02;480;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA ELETRICA UTILIZADA NO PREDIO ANTIGO DO CONSELHO TUTELAR REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3082483862 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"54";"03";"01";"04";"122";"0001";0;"02010";"3.3.90.39.43.00.00.000";"0001";"0000";"0202000000032";2020-12-11;-120,04;"-";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"55";"05";"02";"12";"365";"0002";0;"02023";"3.3.90.39.43.00.00.000";"0020";"0000";"0202000000033";2020-01-02;22000;"+";1169;NA;"000";0;"N";NA;"00000000000000000000";"0000";"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NO PREDIO DA E.M.E.I LAR DA CRIANCA REF. EXERCICIO 2020. MES: FAT. No: No CONOSCO: 3082467807 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
